date,covidOccupiedMVBeds,hospitalCases,VaccineRegisterPopulationByVaccinationDate,newCasesBySpecimenDate,newDeaths28DaysByDeathDateRate,newDeaths60DaysByDeathDate,newVirusTestsBySpecimenDate
2020-03-20,0.0,1580.0,0.0,1215.0,51.7,102.0,8463.0
2020-03-21,0.0,2152.0,0.0,1162.0,56.2,112.0,8442.0
2020-03-22,0.0,2670.0,0.0,1348.0,82.9,153.0,7087.0
2020-03-23,0.0,3183.0,0.0,2263.0,93.4,171.0,11075.0
2020-03-24,0.0,3598.0,0.0,2318.0,116.6,215.0,11255.0
2020-03-25,0.0,4402.0,0.0,2615.0,148.7,277.0,11565.0
2020-03-26,0.0,5226.0,0.0,2977.0,183.0,335.0,13111.0
2020-03-27,0.0,6458.0,0.0,3044.0,186.0,371.0,12767.0
2020-03-28,0.0,7265.0,0.0,2759.0,208.0,381.0,10290.0
2020-03-29,0.0,8420.0,0.0,2799.0,239.0,457.0,9740.0
2020-03-30,0.0,9848.0,0.0,4136.0,290.1,535.0,14557.0
2020-03-31,0.0,11149.0,0.0,4355.0,340.5,599.0,15999.0
2020-04-01,0.0,12053.0,0.0,4795.0,387.7,693.0,16209.0
2020-04-02,1486.0,12103.0,0.0,4693.0,412.9,727.0,16555.0
2020-04-03,1788.0,13582.0,0.0,4682.0,432.7,737.0,16739.0
2020-04-04,1950.0,15398.0,0.0,3866.0,438.7,828.0,13660.0
2020-04-05,2097.0,16583.0,0.0,3493.0,463.7,823.0,11177.0
2020-04-06,2263.0,17079.0,0.0,5032.0,444.8,796.0,17437.0
2020-04-07,2467.0,17709.0,0.0,5189.0,499.1,905.0,17828.0
2020-04-08,2561.0,18023.0,0.0,4905.0,531.4,970.0,17043.0
2020-04-09,2546.0,18284.0,0.0,4670.0,505.1,863.0,16880.0
2020-04-10,2820.0,18507.0,0.0,4144.0,468.8,848.0,14162.0
2020-04-11,2865.0,18435.0,0.0,3394.0,498.8,856.0,12287.0
2020-04-12,2881.0,18801.0,0.0,3366.0,485.7,850.0,11690.0
2020-04-13,2872.0,18438.0,0.0,3998.0,452.2,793.0,14641.0
2020-04-14,2849.0,18325.0,0.0,4107.0,428.7,756.0,16260.0
2020-04-15,2846.0,17700.0,0.0,4743.0,441.3,778.0,18542.0
2020-04-16,2835.0,17540.0,0.0,4962.0,425.1,750.0,18805.0
2020-04-17,2780.0,16477.0,0.0,4676.0,417.1,740.0,19242.0
2020-04-18,2868.0,16617.0,0.0,4356.0,398.5,713.0,14036.0
2020-04-19,2820.0,16678.0,0.0,3595.0,394.1,688.0,11413.0
2020-04-20,2780.0,16368.0,0.0,4181.0,407.1,694.0,19581.0
2020-04-21,2701.0,16234.0,0.0,4563.0,376.1,650.0,19426.0
2020-04-22,2646.0,15736.0,0.0,5335.0,376.1,649.0,18821.0
2020-04-23,2563.0,15133.0,0.0,4991.0,365.6,611.0,20064.0
2020-04-24,2414.0,14407.0,0.0,4755.0,365.3,626.0,23607.0
2020-04-25,2405.0,13951.0,0.0,3612.0,350.6,571.0,14866.0
2020-04-26,2309.0,13911.0,0.0,3320.0,342.6,573.0,12476.0
